episode,protein,stage,total_reward,final_energy,rmsd,steps,clashes,policy_loss,value_loss,entropy
129,1L2Y,1,62.74,40.3856,26.9305,38,5,-0.0123,3.3836,8.1254
130,1L2Y,1,117.34,308.9154,14.451,50,1,0,0,0
131,1L2Y,1,135.04,32.899,21.1089,50,0,0,0,0
132,1L2Y,1,88.32,198.2768,12.4795,50,4,0,0,0
133,1L2Y,1,82.96,39.0706,16.3459,50,0,0,0,0
134,1L2Y,1,129.94,36.5886,7.449,50,2,0,0,0
135,1L2Y,1,122.18,27.0517,14.749,50,0,-0.0101,8.5018,8.1252
136,1L2Y,1,-11.5,45.7657,16.919,5,5,0,0,0
137,1L2Y,1,118.96,51.1993,18.6784,50,0,0,0,0
138,1L2Y,1,89.46,29.8779,22.0177,50,0,0,0,0
139,1L2Y,1,102.14,44.4115,13.9549,50,1,0,0,0
140,1L2Y,1,193.92,33.9,17.4922,50,0,0,0,0
141,1L2Y,1,-10.68,31.9576,12.9276,8,4,0.0057,10.681,8.1253
142,1L2Y,1,102.3,38.0508,20.2207,50,3,0,0,0
143,1L2Y,1,118.2,41.6015,16.7394,50,2,0,0,0
144,1L2Y,1,132.92,36.2765,16.639,50,1,0,0,0
145,1L2Y,1,141.44,34.3958,13.0957,50,3,0,0,0
146,1L2Y,1,113.46,169.4949,19.3231,50,1,0,0,0
147,1L2Y,1,93.88,55.2963,13.6422,50,2,0.0091,5.8478,8.1255
148,1L2Y,1,7.2,47.3012,12.8465,9,4,0,0,0
149,1L2Y,1,160.56,42.1106,20.3189,50,2,0,0,0
150,1L2Y,1,107.42,150.8043,24.1446,50,3,0,0,0
151,1L2Y,1,74.14,521.4531,11.712,50,0,0,0,0
152,1L2Y,1,94.04,354.7287,13.8618,50,0,-0.0114,8.9033,8.1257
153,1L2Y,1,140.88,42.5678,21.5875,50,1,0,0,0
154,1L2Y,1,142.68,33.6645,12.4172,50,0,0,0,0
155,1L2Y,1,124.74,42.3998,17.2216,50,0,0,0,0
156,1L2Y,1,82.3,35.616,16.2859,50,3,0,0,0
157,1L2Y,1,104.7,38.9138,11.3174,50,3,0,0,0
158,1L2Y,1,108.96,36.0449,20.0901,50,0,-0.0109,5.8912,8.1257
159,1L2Y,1,80.56,218.1469,20.5899,50,1,0,0,0
160,1L2Y,1,109.3,30.1238,19.8733,50,2,0,0,0
161,1L2Y,1,93.9,40.0537,16.2084,50,1,0,0,0
162,1L2Y,1,119.14,41.5663,15.3037,50,2,0,0,0
163,1L2Y,1,115.78,43.3849,13.693,50,0,-0.0047,4.7541,8.1257
164,1L2Y,1,142.8,29.7266,13.9798,50,3,0,0,0
165,1L2Y,1,146.54,47.6589,18.4354,50,0,0,0,0
166,1L2Y,1,98.16,47.3865,28.652,50,0,0,0,0
167,1L2Y,1,97.66,29.3402,20.4437,50,1,0,0,0
168,1L2Y,1,134.14,27.7582,17.0169,50,1,0.0017,6.5379,8.1257
169,1L2Y,1,16.22,84.3817,11.2877,11,5,0,0,0
170,1L2Y,1,-11.9,38.0314,14.5598,6,5,0,0,0
171,1L2Y,1,127.98,33.4624,18.5624,50,3,0,0,0
172,1L2Y,1,134.14,431.4514,17.0066,50,3,0,0,0
173,1L2Y,1,127.02,44.0778,20.9567,50,1,0,0,0
174,1L2Y,1,132.9,140.4025,17.5086,50,2,0,0,0
175,1L2Y,1,115.0,319.2588,13.7179,50,1,-0.0021,3.5408,8.1258
176,1L2Y,1,118.74,102.8346,12.2515,50,2,0,0,0
177,1L2Y,1,145.1,26.468,16.07,50,1,0,0,0
178,1L2Y,1,145.2,31.1712,20.0987,50,2,0,0,0
179,1L2Y,1,150.72,30.768,26.1545,50,1,0,0,0
180,1L2Y,1,128.24,129.512,19.4899,50,0,-0.0031,4.8486,8.1259
181,1L2Y,1,145.24,163.0201,11.0181,50,2,0,0,0
182,1L2Y,1,128.3,44.6657,13.9796,50,3,0,0,0
183,1L2Y,1,120.2,33.9936,22.2902,50,2,0,0,0
184,1L2Y,1,87.1,234.0833,18.2232,50,3,0,0,0
185,1L2Y,1,101.1,44.087,16.7877,50,0,-0.0084,6.4085,8.1259
186,1L2Y,1,69.26,246.9471,15.4703,33,3,0,0,0
187,1L2Y,1,1.72,28.4322,11.3257,7,4,0,0,0
188,1L2Y,1,127.28,34.8809,18.3801,50,0,0,0,0
189,1L2Y,1,103.92,39.346,18.2154,50,0,0,0,0
190,1L2Y,1,108.64,39.6478,18.2494,50,1,0,0,0
191,1L2Y,1,118.3,39.1778,14.4495,50,3,-0.0136,2.8294,8.1258
192,1L2Y,1,155.18,35.63,9.3444,50,1,0,0,0
193,1L2Y,1,122.44,28.1148,26.2728,50,0,0,0,0
194,1L2Y,1,118.58,29.748,17.469,50,2,0,0,0
195,1L2Y,1,91.66,47.3167,11.8807,50,2,0,0,0
196,1L2Y,1,110.1,41.4875,17.6822,50,1,-0.0123,4.9154,8.1256
197,1L2Y,1,140.9,39.3214,20.8432,50,3,0,0,0
198,1L2Y,1,-11.5,20.9063,10.5778,5,5,0,0,0
199,1L2Y,1,102.04,95.9896,22.0919,50,3,0,0,0
200,1L2Y,1,82.12,42.9227,20.1428,50,1,0,0,0
201,1L2Y,1,109.94,41.0598,18.4779,50,0,0,0,0
202,1L2Y,1,130.62,40.4901,16.2424,50,3,-0.0001,4.6504,8.1254
203,1L2Y,1,106.16,33.2201,14.6508,50,2,0,0,0
204,1L2Y,1,99.18,47.4528,13.174,50,1,0,0,0
205,1L2Y,1,139.3,32.1814,15.3686,50,0,0,0,0
206,1L2Y,1,178.98,29.8312,12.6913,50,0,0,0,0
207,1L2Y,1,104.34,40.4278,18.7667,50,0,0.0082,5.9124,8.1254
208,1L2Y,1,110.68,132.1901,18.7653,50,3,0,0,0
209,1L2Y,1,99.38,285.2661,17.5451,50,1,0,0,0
210,1L2Y,1,126.2,194.4497,14.1364,50,1,0,0,0
211,1L2Y,1,165.98,32.271,19.8049,50,1,0,0,0
212,1L2Y,1,126.22,166.0275,14.2913,50,1,0,0,0
213,1L2Y,1,111.94,38.9575,22.4376,50,1,-0.0126,6.1681,8.1255
214,1L2Y,1,-11.9,56.9408,18.0201,6,5,0,0,0
215,1L2Y,1,143.94,242.1207,19.6851,50,1,0,0,0
216,1L2Y,1,-13.06,138.4442,17.3201,9,5,0,0,0
217,1L2Y,1,125.04,28.3745,16.3176,50,0,0,0,0
218,1L2Y,1,100.86,48.6043,15.7385,50,0,0,0,0
219,1L2Y,1,95.4,36.5767,16.6672,50,0,-0.0159,5.9678,8.1255
220,1L2Y,1,146.84,33.2037,23.9098,50,0,0,0,0
221,1L2Y,1,88.1,34.1728,17.2211,50,2,0,0,0
222,1L2Y,1,128.24,37.7956,19.8359,50,0,0,0,0
223,1L2Y,1,109.94,38.6234,26.4524,50,0,0,0,0
224,1L2Y,1,152.88,32.239,29.5598,50,0,0.0061,4.6014,8.1253
225,1L2Y,1,127.6,25.9066,14.5599,50,0,0,0,0
226,1L2Y,1,107.24,44.4916,20.2585,50,2,0,0,0
227,1L2Y,1,112.26,39.7642,15.5908,50,2,0,0,0
228,1L2Y,1,112.38,33.5385,19.3852,50,2,0,0,0
229,1L2Y,1,103.68,46.0219,22.3473,50,0,0,0,0
230,1L2Y,1,97.6,26.7743,22.9552,50,2,0.0016,3.9419,8.1251
231,1L2Y,1,147.2,271.7367,18.8974,50,2,0,0,0
232,1L2Y,1,150.8,31.9045,26.7226,50,1,0,0,0
233,1L2Y,1,95.58,37.2559,14.4731,50,0,0,0,0
234,1L2Y,1,94.3,132.3275,18.0256,50,1,0,0,0
235,1L2Y,1,122.86,40.5747,28.8159,50,0,-0.0138,7.1687,8.125
236,1L2Y,1,157.4,29.6187,15.0872,50,1,0,0,0
237,1L2Y,1,129.42,34.0749,16.141,50,1,0,0,0
238,1L2Y,1,123.08,247.0718,10.6806,50,0,0,0,0
239,1L2Y,1,-5.04,32.1477,13.316,6,3,0,0,0
240,1L2Y,1,133.06,116.3802,12.4655,50,1,0,0,0
241,1L2Y,1,131.72,31.179,15.4709,50,3,-0.0031,4.9606,8.1249
242,1L2Y,1,91.9,42.4065,14.9529,50,2,0,0,0
243,1L2Y,1,117.72,159.8859,13.9201,50,2,0,0,0
244,1L2Y,1,124.0,33.625,13.8485,50,0,0,0,0
245,1L2Y,1,109.3,180.644,13.4185,50,3,0,0,0
246,1L2Y,1,94.88,40.2947,16.2252,50,3,0.0044,6.2135,8.1247
247,1L2Y,1,77.14,606.6222,15.512,44,5,0,0,0
248,1L2Y,1,41.9,192.2853,9.5495,29,5,0,0,0
249,1L2Y,1,89.42,40.2874,14.3165,50,0,0,0,0
250,1L2Y,1,132.18,43.4644,19.7254,50,1,0,0,0
251,1L2Y,1,152.46,33.9921,14.7303,50,1,0,0,0
252,1L2Y,1,73.14,32.4085,19.8752,50,4,-0.0046,8.2626,8.1247
253,1L2Y,1,104.02,43.9049,19.9546,50,0,0,0,0
254,1L2Y,1,82.8,251.1494,16.191,50,1,0,0,0
255,1L2Y,1,111.44,35.0194,19.8958,50,1,0,0,0
256,1L2Y,1,167.4,38.629,20.2624,50,0,0,0,0
257,1L2Y,1,114.46,42.8208,22.0762,50,1,-0.0182,7.4021,8.1246
258,1L2Y,1,91.04,57.8561,13.3691,50,2,0,0,0
259,1L2Y,1,140.94,374.4581,16.9569,50,3,0,0,0
260,1L2Y,1,126.4,56.696,10.8401,50,4,0,0,0
261,1L2Y,1,82.82,49.5394,24.1395,50,0,0,0,0
262,1L2Y,1,157.34,234.8157,17.3187,50,0,0.0131,6.5187,8.1244
263,1L2Y,1,87.28,37.5736,21.7201,50,1,0,0,0
264,1L2Y,1,124.84,256.6634,10.6634,50,0,0,0,0
265,1L2Y,1,108.36,46.4034,25.2215,50,1,0,0,0
266,1L2Y,1,119.36,29.6463,10.6901,50,0,0,0,0
267,1L2Y,1,120.9,31.6305,11.8159,50,2,0.0088,4.0274,8.1233
268,1L2Y,1,131.68,74.3285,23.6029,50,0,0,0,0
269,1L2Y,1,123.22,337.6137,13.0338,50,1,0,0,0
270,1L2Y,1,108.12,284.0201,9.3896,50,0,0,0,0
271,1L2Y,1,142.36,35.971,13.7225,50,0,0,0,0
272,1L2Y,1,129.14,35.8484,15.0728,50,1,0.0102,6.7457,8.1244
273,1L2Y,1,124.68,35.7314,21.8235,50,3,0,0,0
274,1L2Y,1,103.66,42.2961,17.2463,50,0,0,0,0
275,1L2Y,1,177.74,31.4302,17.9972,50,0,0,0,0
276,1L2Y,1,21.82,740.9272,10.3437,27,5,0,0,0
277,1L2Y,1,92.46,424.7275,14.586,50,0,0,0,0
278,1L2Y,1,92.1,49.3268,15.4391,50,1,-0.0038,10.9641,8.1233
279,1L2Y,1,-11.5,39.4446,11.2031,5,5,0,0,0
280,1L2Y,1,12.16,30.2797,8.7909,6,5,0,0,0
281,1L2Y,1,118.66,234.5905,24.1475,50,2,0,0,0
282,1L2Y,1,133.12,36.4541,18.0589,50,2,0,0,0
283,1L2Y,1,125.92,32.7337,25.2549,50,3,0,0,0
284,1L2Y,1,128.62,137.6191,15.9193,50,1,0.0131,3.6076,8.1224
285,1L2Y,1,98.3,36.4507,19.8277,50,0,0,0,0
286,1L2Y,1,118.56,21.5022,20.4421,50,0,0,0,0
287,1L2Y,1,94.02,283.124,16.6731,50,2,0,0,0
288,1L2Y,1,134.98,33.7596,13.9965,50,1,0,0,0
289,1L2Y,1,88.9,38.3498,16.1351,50,0,0,0,0
290,1L2Y,1,81.8,89.4807,21.1099,50,0,0.0234,4.8272,8.1224
291,1L2Y,1,-0.88,41.0454,22.091,6,4,0,0,0
292,1L2Y,1,112.88,362.7355,9.2453,50,1,0,0,0
293,1L2Y,1,152.9,30.8776,18.1375,50,0,0,0,0
294,1L2Y,1,158.04,41.3603,16.6089,50,0,0,0,0
295,1L2Y,1,153.3,41.6947,8.9744,50,0,0,0,0
296,1L2Y,1,98.56,44.5095,13.7219,50,1,0.0219,6.2245,8.1234
297,1L2Y,1,146.16,139.2501,11.6849,50,0,0,0,0
298,1L2Y,1,-4.22,35.7668,14.6222,7,4,0,0,0
299,1L2Y,1,147.54,25.2195,17.2599,50,1,0,0,0
300,1L2Y,1,99.24,42.3455,11.2703,50,4,0,0,0
301,1L2Y,1,149.22,44.5722,14.0056,50,0,0,0,0
302,1L2Y,1,118.48,266.5326,11.0715,50,2,0.0207,7.9626,8.1221
303,1L2Y,1,85.84,557.2401,15.3761,50,3,0,0,0
